date,amount,description,type,account
2024-01-01,50000,Salary,income,HDFC Bank
2024-01-02,-10000,Rent Payment,expense,HDFC Bank
2024-01-03,-299,Netflix Subscription,expense,HDFC Bank
2024-01-04,-599,Spotify Premium,expense,HDFC Bank
2024-01-05,-450,Swiggy Order,expense,HDFC Bank
2024-01-06,-1200,Grocery Shopping,expense,HDFC Bank
2024-01-07,-180,Electricity Bill,expense,HDFC Bank
2024-01-08,-350,Internet Bill,expense,HDFC Bank
2024-01-09,-220,Mobile Recharge,expense,HDFC Bank
2024-01-10,-850,Restaurant Bill,expense,HDFC Bank
2024-01-11,-1200,Grocery Shopping,expense,HDFC Bank
2024-01-12,-450,Swiggy Order,expense,HDFC Bank
2024-01-13,-1800,Amazon Purchase,expense,HDFC Bank
2024-01-14,-299,Netflix Subscription,expense,HDFC Bank
2024-01-15,-599,Spotify Premium,expense,HDFC Bank
2024-01-16,-650,Uber Ride,expense,HDFC Bank
2024-01-17,-900,Doctor Consultation,expense,HDFC Bank
2024-01-18,-1100,Clothing Shopping,expense,HDFC Bank
2024-01-19,-750,Movie Tickets,expense,HDFC Bank
2024-01-20,-1300,Grocery Shopping,expense,HDFC Bank
2024-01-21,-450,Swiggy Order,expense,HDFC Bank
2024-01-22,-180,Electricity Bill,expense,HDFC Bank
2024-01-23,-350,Internet Bill,expense,HDFC Bank
2024-01-24,-220,Mobile Recharge,expense,HDFC Bank
2024-01-25,-850,Restaurant Bill,expense,HDFC Bank
2024-01-26,-1200,Grocery Shopping,expense,HDFC Bank
2024-01-27,-450,Swiggy Order,expense,HDFC Bank
2024-01-28,-1800,Amazon Purchase,expense,HDFC Bank
2024-01-29,-299,Netflix Subscription,expense,HDFC Bank
2024-01-30,-599,Spotify Premium,expense,HDFC Bank
2024-01-31,-10000,Rent Payment,expense,HDFC Bank
2024-02-01,50000,Salary,income,HDFC Bank
2024-02-02,-450,Swiggy Order,expense,HDFC Bank
2024-02-03,-1200,Grocery Shopping,expense,HDFC Bank
2024-02-04,-180,Electricity Bill,expense,HDFC Bank
2024-02-05,-350,Internet Bill,expense,HDFC Bank
2024-02-06,-220,Mobile Recharge,expense,HDFC Bank
2024-02-07,-850,Restaurant Bill,expense,HDFC Bank
2024-02-08,-1300,Grocery Shopping,expense,HDFC Bank
2024-02-09,-450,Swiggy Order,expense,HDFC Bank
2024-02-10,-1800,Amazon Purchase,expense,HDFC Bank
2024-02-11,-299,Netflix Subscription,expense,HDFC Bank
2024-02-12,-599,Spotify Premium,expense,HDFC Bank
2024-02-13,-650,Uber Ride,expense,HDFC Bank
2024-02-14,-900,Doctor Consultation,expense,HDFC Bank
2024-02-15,-1100,Clothing Shopping,expense,HDFC Bank
2024-02-16,-750,Movie Tickets,expense,HDFC Bank
2024-02-17,-1200,Grocery Shopping,expense,HDFC Bank
2024-02-18,-450,Swiggy Order,expense,HDFC Bank
2024-02-19,-180,Electricity Bill,expense,HDFC Bank
2024-02-20,-350,Internet Bill,expense,HDFC Bank
2024-02-21,-220,Mobile Recharge,expense,HDFC Bank
2024-02-22,-850,Restaurant Bill,expense,HDFC Bank
2024-02-23,-1300,Grocery Shopping,expense,HDFC Bank
2024-02-24,-450,Swiggy Order,expense,HDFC Bank
2024-02-25,-1800,Amazon Purchase,expense,HDFC Bank
2024-02-26,-299,Netflix Subscription,expense,HDFC Bank
2024-02-27,-599,Spotify Premium,expense,HDFC Bank
2024-02-28,-10000,Rent Payment,expense,HDFC Bank
2024-02-29,-2500,Unexpected Medical Expense,expense,HDFC Bank
2024-03-01,50000,Salary,income,HDFC Bank
2024-03-02,-450,Swiggy Order,expense,HDFC Bank
2024-03-03,-1200,Grocery Shopping,expense,HDFC Bank
2024-03-04,-180,Electricity Bill,expense,HDFC Bank
2024-03-05,-350,Internet Bill,expense,HDFC Bank
2024-03-06,-220,Mobile Recharge,expense,HDFC Bank
2024-03-07,-850,Restaurant Bill,expense,HDFC Bank
2024-03-08,-1300,Grocery Shopping,expense,HDFC Bank
2024-03-09,-450,Swiggy Order,expense,HDFC Bank
2024-03-10,-1800,Amazon Purchase,expense,HDFC Bank
2024-03-11,-299,Netflix Subscription,expense,HDFC Bank
2024-03-12,-599,Spotify Premium,expense,HDFC Bank
2024-03-13,-650,Uber Ride,expense,HDFC Bank
2024-03-14,-900,Doctor Consultation,expense,HDFC Bank
2024-03-15,-1100,Clothing Shopping,expense,HDFC Bank
2024-03-16,-750,Movie Tickets,expense,HDFC Bank
2024-03-17,-1200,Grocery Shopping,expense,HDFC Bank
2024-03-18,-450,Swiggy Order,expense,HDFC Bank
2024-03-19,-180,Electricity Bill,expense,HDFC Bank
2024-03-20,-350,Internet Bill,expense,HDFC Bank
2024-03-21,-220,Mobile Recharge,expense,HDFC Bank
2024-03-22,-850,Restaurant Bill,expense,HDFC Bank
2024-03-23,-1300,Grocery Shopping,expense,HDFC Bank
2024-03-24,-450,Swiggy Order,expense,HDFC Bank
2024-03-25,-1800,Amazon Purchase,expense,HDFC Bank
2024-03-26,-299,Netflix Subscription,expense,HDFC Bank
2024-03-27,-599,Spotify Premium,expense,HDFC Bank
2024-03-28,-10000,Rent Payment,expense,HDFC Bank
2024-03-29,-3200,Laptop Repair,expense,HDFC Bank
2024-03-30,-450,Swiggy Order,expense,HDFC Bank
2024-03-31,-1200,Grocery Shopping,expense,HDFC Bank